minutes_elapsed,value
-2.0,91.0
-2.0,87.0
-1.9833333333333334,87.0
-1.9666666666666666,82.0
-1.9666666666666666,82.0
-1.9666666666666666,84.0
-1.95,82.0
-1.95,84.0
-1.9333333333333333,84.0
-1.9333333333333333,86.0
-1.9166666666666667,88.0
-1.9166666666666667,91.0
-1.9,93.0
-1.9,93.0
-1.8833333333333333,92.0
-1.8833333333333333,91.0
-1.8666666666666667,91.0
-1.8666666666666667,91.0
-1.85,92.0
-1.85,92.0
-1.8333333333333333,93.0
-1.8333333333333333,93.0
-1.8166666666666667,93.0
-1.8166666666666667,94.0
-1.8,94.0
-1.8,95.0
-1.7833333333333334,95.0
-1.7833333333333334,95.0
-1.7666666666666666,96.0
-1.7666666666666666,96.0
-1.75,96.0
-1.75,94.0
-1.7333333333333334,94.0
-1.7333333333333334,92.0
-1.7166666666666666,90.0
-1.7166666666666666,90.0
-1.7,88.0
-1.7,87.0
-1.6833333333333333,87.0
-1.6833333333333333,87.0
-1.6666666666666667,89.0
-1.6666666666666667,92.0
-1.65,93.0
-1.65,93.0
-1.6333333333333333,93.0
-1.6333333333333333,93.0
-1.6166666666666667,93.0
-1.6166666666666667,93.0
-1.6,92.0
-1.6,92.0
-1.5833333333333333,88.0
-1.5833333333333333,90.0
-1.5666666666666667,88.0
-1.5666666666666667,87.0
-1.55,87.0
-1.55,86.0
-1.5333333333333334,82.0
-1.5333333333333334,83.0
-1.5166666666666666,83.0
-1.5166666666666666,84.0
-1.5,86.0
-1.5,87.0
-1.4833333333333334,86.0
-1.4833333333333334,87.0
-1.4666666666666666,84.0
-1.4666666666666666,84.0
-1.45,80.0
-1.45,80.0
-1.4333333333333333,77.0
-1.4333333333333333,77.0
-1.4166666666666667,77.0
-1.4166666666666667,81.0
-1.4,81.0
-1.4,81.0
-1.3833333333333333,81.0
-1.3833333333333333,81.0
-1.3666666666666667,81.0
-1.3666666666666667,81.0
-1.35,82.0
-1.35,82.0
-1.3333333333333333,84.0
-1.3333333333333333,85.0
-1.3166666666666667,87.0
-1.3166666666666667,86.0
-1.3,87.0
-1.3,91.0
-1.2833333333333334,93.0
-1.2833333333333334,92.0
-1.2666666666666666,92.0
-1.2666666666666666,92.0
-1.25,93.0
-1.25,93.0
-1.2333333333333334,93.0
-1.2333333333333334,93.0
-1.2166666666666666,94.0
-1.2166666666666666,94.0
-1.2,93.0
-1.2,93.0
-1.1833333333333333,93.0
-1.1833333333333333,95.0
-1.1666666666666667,95.0
-1.1666666666666667,97.0
-1.15,97.0
-1.15,97.0
-1.1333333333333333,97.0
-1.1333333333333333,97.0
-1.1166666666666667,97.0
-1.1166666666666667,97.0
-1.1,97.0
-1.1,97.0
-1.0833333333333333,97.0
-1.0833333333333333,97.0
-1.0666666666666667,97.0
-1.0666666666666667,97.0
-1.05,97.0
-1.05,97.0
-1.0333333333333334,97.0
-1.0333333333333334,97.0
-1.0166666666666666,97.0
-1.0166666666666666,97.0
-1.0,97.0
-1.0,97.0
-0.9833333333333333,97.0
-0.9666666666666667,97.0
-0.9666666666666667,99.0
-0.9666666666666667,99.0
-0.95,100.0
-0.95,102.0
-0.9333333333333333,103.0
-0.9333333333333333,104.0
-0.9166666666666666,105.0
-0.9166666666666666,106.0
-0.9,107.0
-0.9,110.0
-0.8833333333333333,114.0
-0.8833333333333333,110.0
-0.8666666666666667,115.0
-0.8666666666666667,117.0
-0.85,117.0
-0.85,118.0
-0.8333333333333334,118.0
-0.8333333333333334,118.0
-0.8166666666666667,116.0
-0.8166666666666667,117.0
-0.8,114.0
-0.8,113.0
-0.7833333333333333,112.0
-0.7833333333333333,112.0
-0.7666666666666667,112.0
-0.7666666666666667,112.0
-0.75,112.0
-0.75,112.0
-0.7333333333333333,113.0
-0.7333333333333333,113.0
-0.7166666666666667,115.0
-0.7166666666666667,114.0
-0.7,115.0
-0.7,115.0
-0.6833333333333333,115.0
-0.6833333333333333,115.0
-0.6666666666666666,115.0
-0.6666666666666666,115.0
-0.65,115.0
-0.65,114.0
-0.6333333333333333,116.0
-0.6333333333333333,115.0
-0.6166666666666667,117.0
-0.6166666666666667,118.0
-0.6,118.0
-0.6,119.0
-0.5833333333333334,121.0
-0.5833333333333334,121.0
-0.5666666666666667,122.0
-0.5666666666666667,122.0
-0.55,123.0
-0.55,123.0
-0.5333333333333333,123.0
-0.5333333333333333,123.0
-0.5166666666666667,124.0
-0.5166666666666667,123.0
-0.5,124.0
-0.5,124.0
-0.48333333333333334,125.0
-0.48333333333333334,125.0
-0.4666666666666667,125.0
-0.43333333333333335,124.0
-0.43333333333333335,125.0
-0.43333333333333335,125.0
-0.43333333333333335,126.0
-0.43333333333333335,125.0
-0.4166666666666667,124.0
-0.38333333333333336,124.0
-0.38333333333333336,124.0
-0.38333333333333336,123.0
-0.38333333333333336,123.0
-0.38333333333333336,122.0
-0.36666666666666664,121.0
-0.36666666666666664,121.0
-0.31666666666666665,120.0
-0.31666666666666665,120.0
-0.31666666666666665,121.0
-0.31666666666666665,122.0
-0.31666666666666665,122.0
-0.3,122.0
-0.3,123.0
-0.2833333333333333,123.0
-0.25,124.0
-0.21666666666666667,124.0
-0.21666666666666667,124.0
-0.21666666666666667,124.0
-0.2,123.0
-0.16666666666666666,120.0
-0.16666666666666666,122.0
-0.16666666666666666,120.0
-0.16666666666666666,123.0
-0.16666666666666666,122.0
-0.16666666666666666,123.0
-0.15,121.0
-0.15,121.0
-0.13333333333333333,121.0
-0.13333333333333333,121.0
-0.11666666666666667,121.0
-0.11666666666666667,121.0
-0.1,121.0
-0.1,122.0
-0.08333333333333333,122.0
-0.08333333333333333,121.0
-0.06666666666666667,121.0
-0.06666666666666667,121.0
-0.05,121.0
-0.05,121.0
-0.03333333333333333,121.0
-0.03333333333333333,121.0
-0.016666666666666666,121.0
-0.016666666666666666,121.0
0.0,121.0
0.0,121.0
0.016666666666666666,121.0
0.016666666666666666,121.0
0.03333333333333333,123.0
0.03333333333333333,126.0
0.05,125.0
0.05,125.0
0.06666666666666667,122.0
0.06666666666666667,118.0
0.08333333333333333,115.0
0.08333333333333333,116.0
0.1,117.0
0.1,116.0
0.11666666666666667,117.0
0.11666666666666667,116.0
0.13333333333333333,116.0
0.13333333333333333,116.0
0.15,116.0
0.15,116.0
0.16666666666666666,116.0
0.16666666666666666,116.0
0.18333333333333332,116.0
0.18333333333333332,116.0
0.2,116.0
0.2,116.0
0.21666666666666667,116.0
0.21666666666666667,116.0
0.23333333333333334,116.0
0.23333333333333334,116.0
0.25,115.0
0.25,115.0
0.26666666666666666,114.0
0.26666666666666666,114.0
0.2833333333333333,115.0
0.2833333333333333,116.0
0.3,116.0
0.3,117.0
0.31666666666666665,118.0
0.31666666666666665,118.0
0.3333333333333333,118.0
0.3333333333333333,118.0
0.35,118.0
0.35,117.0
0.36666666666666664,118.0
0.36666666666666664,118.0
0.38333333333333336,118.0
0.38333333333333336,118.0
0.4,119.0
0.4,119.0
0.4166666666666667,118.0
0.4166666666666667,118.0
0.43333333333333335,118.0
0.43333333333333335,118.0
0.45,118.0
0.45,121.0
0.4666666666666667,125.0
0.4666666666666667,126.0
0.48333333333333334,128.0
0.48333333333333334,129.0
0.5,130.0
0.5,129.0
0.5166666666666667,128.0
0.5166666666666667,129.0
0.5333333333333333,129.0
0.5333333333333333,129.0
0.55,129.0
0.55,129.0
0.5666666666666667,130.0
0.5666666666666667,130.0
0.5833333333333334,130.0
0.5833333333333334,130.0
0.6,130.0
0.6,131.0
0.6166666666666667,132.0
0.6166666666666667,132.0
0.6333333333333333,133.0
0.6333333333333333,133.0
0.65,133.0
0.65,133.0
0.6666666666666666,133.0
0.6666666666666666,133.0
0.6833333333333333,133.0
0.6833333333333333,133.0
0.7,131.0
0.7,131.0
0.7166666666666667,131.0
0.7166666666666667,131.0
0.7333333333333333,131.0
0.7333333333333333,129.0
0.75,129.0
0.75,128.0
0.7666666666666667,128.0
0.7666666666666667,128.0
0.7833333333333333,128.0
0.7833333333333333,128.0
0.8,127.0
0.8,128.0
0.8166666666666667,126.0
0.8166666666666667,126.0
0.8333333333333334,127.0
0.8333333333333334,127.0
0.85,127.0
0.85,127.0
0.8666666666666667,126.0
0.8666666666666667,126.0
0.8833333333333333,128.0
0.8833333333333333,129.0
0.9,129.0
0.9,130.0
0.9333333333333333,130.0
0.9333333333333333,132.0
0.9333333333333333,131.0
0.9333333333333333,130.0
0.95,131.0
0.95,131.0
0.9666666666666667,130.0
0.9666666666666667,129.0
0.9833333333333333,129.0
0.9833333333333333,129.0
1.0,129.0
1.0,128.0
1.0166666666666666,128.0
1.0166666666666666,128.0
1.0333333333333334,128.0
1.0333333333333334,129.0
1.05,130.0
1.05,132.0
1.0666666666666667,133.0
1.0666666666666667,132.0
1.0833333333333333,133.0
1.0833333333333333,133.0
1.1,132.0
1.1,133.0
1.1166666666666667,132.0
1.1166666666666667,132.0
1.1333333333333333,132.0
1.1333333333333333,131.0
1.15,131.0
1.15,130.0
1.1666666666666667,130.0
1.1666666666666667,129.0
1.1833333333333333,130.0
1.1833333333333333,130.0
1.2,131.0
1.2,131.0
1.2166666666666666,131.0
1.2166666666666666,131.0
1.2333333333333334,131.0
1.2333333333333334,130.0
1.25,130.0
1.25,130.0
1.2666666666666666,131.0
1.2666666666666666,131.0
1.2833333333333334,131.0
1.2833333333333334,131.0
1.3,132.0
1.3,132.0
1.3166666666666667,132.0
1.3166666666666667,132.0
1.3333333333333333,132.0
1.3333333333333333,132.0
1.35,132.0
1.35,132.0
1.3666666666666667,132.0
1.3666666666666667,132.0
1.3833333333333333,132.0
1.4,132.0
1.4,132.0
1.4,132.0
1.4166666666666667,132.0
1.4166666666666667,132.0
1.4333333333333333,132.0
1.4333333333333333,132.0
1.45,133.0
1.45,133.0
1.4666666666666666,133.0
1.4666666666666666,132.0
1.4833333333333334,132.0
1.4833333333333334,132.0
1.5,132.0
1.5,132.0
1.5166666666666666,132.0
1.5166666666666666,132.0
1.5333333333333334,133.0
1.5333333333333334,133.0
1.55,133.0
1.55,134.0
1.5666666666666667,134.0
1.5666666666666667,134.0
1.5833333333333333,134.0
1.5833333333333333,134.0
1.6,133.0
1.6,133.0
1.6166666666666667,133.0
1.6166666666666667,133.0
1.6333333333333333,133.0
1.6333333333333333,133.0
1.65,133.0
1.65,133.0
1.6666666666666667,132.0
1.6666666666666667,132.0
1.6833333333333333,132.0
1.6833333333333333,131.0
1.7,131.0
1.7,131.0
1.7166666666666666,131.0
1.7166666666666666,130.0
1.7333333333333334,130.0
1.7333333333333334,130.0
1.75,130.0
1.75,130.0
1.7666666666666666,130.0
1.7666666666666666,130.0
1.7833333333333334,131.0
1.7833333333333334,130.0
1.8,131.0
1.8,131.0
1.8166666666666667,132.0
1.8166666666666667,133.0
1.8333333333333333,133.0
1.8333333333333333,134.0
1.85,133.0
1.85,133.0
1.8666666666666667,133.0
1.8666666666666667,132.0
1.8833333333333333,131.0
1.8833333333333333,131.0
1.9,131.0
1.9,131.0
1.9166666666666667,130.0
1.9166666666666667,131.0
1.9333333333333333,129.0
1.9333333333333333,128.0
1.95,127.0
1.95,127.0
1.9666666666666666,126.0
1.9666666666666666,126.0
1.9833333333333334,125.0
1.9833333333333334,125.0
2.0,124.0
2.0,124.0
2.0166666666666666,123.0
2.0166666666666666,123.0
2.033333333333333,125.0
2.033333333333333,124.0
2.05,126.0
2.05,126.0
2.066666666666667,124.0
2.066666666666667,123.0
2.0833333333333335,122.0
2.0833333333333335,122.0
2.1,120.0
2.1,119.0
2.1166666666666667,119.0
2.1166666666666667,119.0
2.1333333333333333,120.0
2.1333333333333333,120.0
2.15,120.0
2.15,121.0
2.1666666666666665,121.0
2.1666666666666665,121.0
2.183333333333333,121.0
2.183333333333333,121.0
2.2,118.0
2.2,120.0
2.216666666666667,117.0
2.216666666666667,116.0
2.2333333333333334,116.0
2.2333333333333334,117.0
2.25,117.0
2.25,116.0
2.2666666666666666,112.0
2.2666666666666666,114.0
2.283333333333333,111.0
2.283333333333333,111.0
2.3,111.0
2.3,111.0
2.316666666666667,111.0
2.316666666666667,108.0
2.3333333333333335,108.0
2.3333333333333335,108.0
2.35,107.0
2.35,108.0
2.3666666666666667,106.0
2.3666666666666667,106.0
2.3833333333333333,106.0
2.3833333333333333,106.0
2.4,106.0
2.4,106.0
2.4166666666666665,107.0
2.4166666666666665,109.0
2.433333333333333,110.0
2.433333333333333,110.0
2.45,112.0
2.45,110.0
2.466666666666667,112.0
2.466666666666667,113.0
2.4833333333333334,113.0
2.4833333333333334,114.0
2.5,118.0
2.5,116.0
2.5166666666666666,119.0
2.5166666666666666,119.0
2.533333333333333,120.0
2.533333333333333,120.0
2.55,119.0
2.55,119.0
2.566666666666667,119.0
2.566666666666667,119.0
2.5833333333333335,120.0
2.5833333333333335,119.0
2.6,118.0
2.6,118.0
2.6166666666666667,118.0
2.6166666666666667,120.0
2.6333333333333333,121.0
2.6333333333333333,122.0
2.65,124.0
2.65,124.0
2.6666666666666665,124.0
2.6666666666666665,124.0
2.683333333333333,124.0
2.683333333333333,124.0
2.7,124.0
2.7,124.0
2.716666666666667,123.0
2.716666666666667,123.0
2.7333333333333334,125.0
2.7333333333333334,125.0
2.75,125.0
2.75,125.0
2.7666666666666666,125.0
2.7666666666666666,125.0
2.783333333333333,125.0
2.783333333333333,125.0
2.8,125.0
2.8,125.0
2.816666666666667,125.0
2.816666666666667,125.0
2.8333333333333335,126.0
2.8333333333333335,126.0
2.85,125.0
2.85,125.0
2.8666666666666667,125.0
2.8666666666666667,125.0
2.8833333333333333,125.0
2.8833333333333333,124.0
2.9,124.0
2.9,123.0
2.9166666666666665,123.0
2.9166666666666665,123.0
2.933333333333333,124.0
2.933333333333333,124.0
2.95,125.0
2.95,126.0
2.966666666666667,127.0
2.966666666666667,127.0
2.9833333333333334,128.0
2.9833333333333334,127.0
3.0,127.0
3.0,128.0
3.0166666666666666,127.0
3.0166666666666666,127.0
3.033333333333333,126.0
3.033333333333333,126.0
3.05,125.0
3.05,125.0
3.066666666666667,125.0
3.066666666666667,125.0
3.0833333333333335,125.0
3.0833333333333335,125.0
3.1,125.0
3.1166666666666667,125.0
3.1166666666666667,125.0
3.1166666666666667,125.0
3.1333333333333333,125.0
3.1333333333333333,125.0
3.15,126.0
3.15,126.0
3.1666666666666665,129.0
3.1666666666666665,129.0
3.183333333333333,129.0
3.183333333333333,129.0
3.2,129.0
3.2,131.0
3.216666666666667,130.0
3.216666666666667,130.0
3.2333333333333334,129.0
3.2333333333333334,129.0
3.25,130.0
3.25,130.0
3.2666666666666666,130.0
3.2666666666666666,130.0
3.283333333333333,129.0
3.283333333333333,129.0
3.3,129.0
3.3,129.0
3.316666666666667,129.0
3.316666666666667,129.0
3.3333333333333335,129.0
3.3333333333333335,129.0
3.35,129.0
3.35,129.0
3.3666666666666667,129.0
3.3666666666666667,130.0
3.3833333333333333,130.0
3.4,129.0
3.4,130.0
3.4,129.0
3.4166666666666665,130.0
3.4166666666666665,129.0
3.433333333333333,129.0
3.433333333333333,129.0
3.45,129.0
3.45,129.0
3.466666666666667,129.0
3.466666666666667,128.0
3.4833333333333334,126.0
3.4833333333333334,124.0
3.5,124.0
3.5,124.0
3.5166666666666666,124.0
3.5166666666666666,124.0
3.533333333333333,124.0
3.533333333333333,124.0
3.55,124.0
3.55,124.0
3.566666666666667,124.0
3.566666666666667,126.0
3.5833333333333335,131.0
3.5833333333333335,132.0
3.6,133.0
3.6,133.0
3.6166666666666667,133.0
3.6166666666666667,133.0
3.6333333333333333,133.0
3.6333333333333333,133.0
3.65,134.0
3.65,135.0
3.6666666666666665,135.0
3.6666666666666665,135.0
3.683333333333333,135.0
3.683333333333333,135.0
3.7,135.0
3.7,135.0
3.716666666666667,135.0
3.716666666666667,135.0
3.7333333333333334,135.0
3.7333333333333334,135.0
3.75,136.0
3.75,136.0
3.7666666666666666,137.0
3.7666666666666666,137.0
3.783333333333333,137.0
3.783333333333333,138.0
3.8,139.0
3.8,138.0
3.816666666666667,139.0
3.816666666666667,139.0
3.8333333333333335,139.0
3.8333333333333335,139.0
3.85,140.0
3.8666666666666667,141.0
3.8666666666666667,141.0
3.8666666666666667,142.0
3.8833333333333333,142.0
3.8833333333333333,142.0
3.9,142.0
3.9,142.0
3.9166666666666665,142.0
3.9166666666666665,142.0
3.933333333333333,142.0
3.933333333333333,143.0
3.95,144.0
3.95,144.0
3.966666666666667,144.0
3.966666666666667,144.0
3.9833333333333334,144.0
3.9833333333333334,144.0
4.0,144.0
4.0,144.0
4.016666666666667,144.0
4.016666666666667,144.0
4.033333333333333,144.0
4.033333333333333,144.0
4.05,144.0
4.05,144.0
4.066666666666666,144.0
4.066666666666666,144.0
4.083333333333333,144.0
4.083333333333333,144.0
4.1,145.0
4.1,145.0
4.116666666666666,145.0
4.116666666666666,145.0
4.133333333333334,144.0
4.133333333333334,144.0
4.15,144.0
4.15,144.0
4.166666666666667,143.0
4.166666666666667,143.0
4.183333333333334,143.0
4.183333333333334,143.0
4.2,143.0
4.2,143.0
4.216666666666667,142.0
4.216666666666667,143.0
4.233333333333333,140.0
4.233333333333333,142.0
4.25,141.0
4.25,141.0
4.266666666666667,142.0
4.266666666666667,141.0
4.283333333333333,141.0
4.283333333333333,141.0
4.3,140.0
4.3,141.0
4.316666666666666,141.0
4.316666666666666,141.0
4.333333333333333,141.0
4.333333333333333,142.0
4.35,145.0
4.35,146.0
4.366666666666666,146.0
4.366666666666666,146.0
4.383333333333334,146.0
4.383333333333334,146.0
4.4,146.0
4.4,146.0
4.416666666666667,144.0
4.416666666666667,140.0
4.433333333333334,139.0
4.433333333333334,139.0
4.45,139.0
4.45,139.0
4.466666666666667,141.0
4.466666666666667,142.0
4.483333333333333,141.0
4.483333333333333,141.0
4.5,141.0
4.5,141.0
4.516666666666667,142.0
4.516666666666667,141.0
4.533333333333333,141.0
4.533333333333333,142.0
4.55,143.0
4.55,142.0
4.566666666666666,143.0
4.566666666666666,142.0
4.583333333333333,139.0
4.583333333333333,139.0
4.6,139.0
4.6,140.0
4.616666666666666,142.0
4.616666666666666,142.0
4.633333333333334,142.0
4.633333333333334,142.0
4.65,142.0
4.65,142.0
4.666666666666667,142.0
4.666666666666667,141.0
4.683333333333334,138.0
4.683333333333334,138.0
4.7,138.0
4.7,138.0
4.716666666666667,141.0
4.716666666666667,142.0
4.733333333333333,142.0
4.733333333333333,142.0
4.75,143.0
4.75,143.0
4.766666666666667,143.0
4.766666666666667,143.0
4.783333333333333,143.0
4.783333333333333,143.0
4.8,143.0
4.8,143.0
4.816666666666666,143.0
4.816666666666666,143.0
4.833333333333333,142.0
4.833333333333333,143.0
4.85,143.0
4.85,143.0
4.883333333333334,143.0
4.883333333333334,143.0
4.883333333333334,143.0
4.883333333333334,143.0
4.9,143.0
4.9,143.0
4.916666666666667,143.0
4.916666666666667,143.0
4.933333333333334,144.0
4.933333333333334,145.0
4.95,146.0
4.95,145.0
4.966666666666667,145.0
4.966666666666667,145.0
4.983333333333333,145.0
4.983333333333333,145.0
5.0,145.0
5.0,145.0
5.016666666666667,146.0
5.016666666666667,146.0
5.033333333333333,146.0
5.033333333333333,146.0
5.05,145.0
5.05,144.0
5.066666666666666,145.0
5.066666666666666,145.0
5.083333333333333,145.0
5.083333333333333,145.0
5.1,145.0
5.1,145.0
5.116666666666666,144.0
5.116666666666666,144.0
5.133333333333334,144.0
5.133333333333334,143.0
5.15,143.0
5.15,142.0
5.166666666666667,142.0
5.166666666666667,142.0
5.183333333333334,142.0
5.183333333333334,142.0
5.2,142.0
5.2,142.0
5.216666666666667,142.0
5.216666666666667,142.0
5.233333333333333,143.0
5.233333333333333,143.0
5.25,143.0
5.25,143.0
5.266666666666667,143.0
5.266666666666667,143.0
5.283333333333333,142.0
5.283333333333333,142.0
5.3,142.0
5.3,142.0
5.316666666666666,142.0
5.316666666666666,143.0
5.333333333333333,143.0
5.333333333333333,142.0
5.35,141.0
5.35,142.0
5.366666666666666,141.0
5.366666666666666,141.0
5.383333333333334,141.0
5.383333333333334,141.0
5.4,139.0
5.4,139.0
5.416666666666667,139.0
5.416666666666667,139.0
5.433333333333334,138.0
5.433333333333334,138.0
5.45,138.0
5.45,138.0
5.466666666666667,138.0
5.466666666666667,138.0
5.483333333333333,138.0
5.483333333333333,139.0
5.5,139.0
5.5,139.0
5.516666666666667,139.0
5.516666666666667,139.0
5.533333333333333,139.0
5.533333333333333,139.0
5.55,139.0
5.55,139.0
5.566666666666666,139.0
5.566666666666666,140.0
5.583333333333333,140.0
5.583333333333333,140.0
5.6,140.0
5.6,140.0
5.616666666666666,140.0
5.616666666666666,140.0
5.633333333333334,142.0
5.633333333333334,142.0
5.65,142.0
5.65,142.0
5.666666666666667,142.0
5.666666666666667,142.0
5.683333333333334,142.0
5.683333333333334,142.0
5.7,142.0
5.7,142.0
5.716666666666667,142.0
5.716666666666667,142.0
5.733333333333333,143.0
5.733333333333333,143.0
5.75,141.0
5.75,142.0
5.766666666666667,141.0
5.766666666666667,142.0
5.783333333333333,141.0
5.783333333333333,141.0
5.8,141.0
5.8,141.0
5.816666666666666,141.0
5.816666666666666,141.0
5.833333333333333,139.0
5.833333333333333,139.0
5.85,139.0
5.85,139.0
