minutes_elapsed,value
-2.0,91.0
-2.0,91.0
-1.9833333333333334,91.0
-1.9666666666666666,91.0
-1.9666666666666666,92.0
-1.9666666666666666,95.0
-1.95,95.0
-1.95,95.0
-1.9333333333333333,95.0
-1.9166666666666667,95.0
-1.9166666666666667,95.0
-1.9166666666666667,95.0
-1.9,95.0
-1.9,93.0
-1.8833333333333333,90.0
-1.8666666666666667,90.0
-1.8666666666666667,91.0
-1.8666666666666667,91.0
-1.85,91.0
-1.85,91.0
-1.8333333333333333,91.0
-1.8166666666666667,91.0
-1.8166666666666667,91.0
-1.8166666666666667,91.0
-1.8,91.0
-1.8,91.0
-1.7833333333333334,91.0
-1.7666666666666666,91.0
-1.7666666666666666,91.0
-1.7666666666666666,91.0
-1.75,91.0
-1.75,91.0
-1.7333333333333334,91.0
-1.7166666666666666,91.0
-1.7166666666666666,93.0
-1.7166666666666666,95.0
-1.7,95.0
-1.7,96.0
-1.6833333333333333,99.0
-1.6666666666666667,100.0
-1.6666666666666667,98.0
-1.6666666666666667,98.0
-1.65,95.0
-1.65,96.0
-1.6333333333333333,93.0
-1.6166666666666667,92.0
-1.6166666666666667,93.0
-1.6166666666666667,92.0
-1.6,92.0
-1.6,92.0
-1.5833333333333333,92.0
-1.5666666666666667,93.0
-1.5666666666666667,92.0
-1.5666666666666667,92.0
-1.55,93.0
-1.55,93.0
-1.5333333333333334,94.0
-1.5166666666666666,96.0
-1.5166666666666666,97.0
-1.5166666666666666,97.0
-1.5,98.0
-1.5,98.0
-1.4833333333333334,98.0
-1.4666666666666666,96.0
-1.4666666666666666,95.0
-1.4666666666666666,96.0
-1.45,94.0
-1.4333333333333333,94.0
-1.4333333333333333,94.0
-1.4166666666666667,94.0
-1.4166666666666667,94.0
-1.4166666666666667,93.0
-1.4,92.0
-1.4,92.0
-1.3833333333333333,90.0
-1.3666666666666667,88.0
-1.3666666666666667,88.0
-1.3666666666666667,88.0
-1.35,87.0
-1.35,87.0
-1.3333333333333333,85.0
-1.3166666666666667,84.0
-1.3166666666666667,86.0
-1.3166666666666667,86.0
-1.3,87.0
-1.3,88.0
-1.2833333333333334,88.0
-1.2666666666666666,88.0
-1.2666666666666666,87.0
-1.2666666666666666,85.0
-1.25,85.0
-1.25,83.0
-1.2333333333333334,82.0
-1.2166666666666666,82.0
-1.2166666666666666,82.0
-1.2166666666666666,82.0
-1.2,82.0
-1.1833333333333333,82.0
-1.1833333333333333,82.0
-1.1666666666666667,82.0
-1.1666666666666667,83.0
-1.1666666666666667,84.0
-1.15,84.0
-1.15,84.0
-1.1333333333333333,85.0
-1.1166666666666667,85.0
-1.1166666666666667,85.0
-1.1166666666666667,85.0
-1.1,85.0
-1.1,85.0
-1.0833333333333333,85.0
-1.0666666666666667,88.0
-1.0666666666666667,85.0
-1.0666666666666667,85.0
-1.05,88.0
-1.05,90.0
-1.0166666666666666,90.0
-1.0166666666666666,90.0
-1.0166666666666666,87.0
-1.0166666666666666,85.0
-1.0,85.0
-1.0,81.0
-0.9833333333333333,80.0
-0.9666666666666667,79.0
-0.9666666666666667,80.0
-0.9666666666666667,80.0
-0.95,80.0
-0.95,80.0
-0.9333333333333333,82.0
-0.9166666666666666,88.0
-0.9166666666666666,85.0
-0.9166666666666666,82.0
-0.9,91.0
-0.9,94.0
-0.8833333333333333,94.0
-0.8666666666666667,95.0
-0.8666666666666667,96.0
-0.8666666666666667,95.0
-0.85,94.0
-0.85,94.0
-0.8333333333333334,91.0
-0.8166666666666667,89.0
-0.8,89.0
-0.8,88.0
-0.8,85.0
-0.7833333333333333,84.0
-0.7833333333333333,85.0
-0.7666666666666667,85.0
-0.75,88.0
-0.75,88.0
-0.75,89.0
-0.75,89.0
-0.7166666666666667,88.0
-0.7166666666666667,88.0
-0.7166666666666667,87.0
-0.7166666666666667,87.0
-0.7,87.0
-0.7,86.0
-0.6833333333333333,86.0
-0.6666666666666666,85.0
-0.6666666666666666,86.0
-0.6666666666666666,86.0
-0.65,84.0
-0.65,84.0
-0.6333333333333333,82.0
-0.6166666666666667,81.0
-0.6166666666666667,81.0
-0.6166666666666667,81.0
-0.6,83.0
-0.6,83.0
-0.5666666666666667,84.0
-0.5666666666666667,85.0
-0.5666666666666667,87.0
-0.5666666666666667,87.0
-0.55,87.0
-0.55,87.0
-0.5333333333333333,87.0
-0.5166666666666667,87.0
-0.5166666666666667,87.0
-0.5166666666666667,87.0
-0.5,93.0
-0.5,88.0
-0.48333333333333334,94.0
-0.4666666666666667,94.0
-0.4666666666666667,93.0
-0.4666666666666667,91.0
-0.45,89.0
-0.45,89.0
-0.43333333333333335,86.0
-0.4166666666666667,86.0
-0.4166666666666667,82.0
-0.4166666666666667,79.0
-0.4,79.0
-0.4,78.0
-0.38333333333333336,77.0
-0.36666666666666664,79.0
-0.36666666666666664,77.0
-0.36666666666666664,78.0
-0.35,79.0
-0.35,79.0
-0.3333333333333333,79.0
-0.31666666666666665,79.0
-0.31666666666666665,81.0
-0.31666666666666665,79.0
-0.3,86.0
-0.3,85.0
-0.2833333333333333,86.0
-0.26666666666666666,89.0
-0.26666666666666666,92.0
-0.26666666666666666,91.0
-0.25,92.0
-0.25,90.0
-0.23333333333333334,87.0
-0.21666666666666667,81.0
-0.21666666666666667,87.0
-0.21666666666666667,84.0
-0.2,81.0
-0.18333333333333332,79.0
-0.18333333333333332,79.0
-0.16666666666666666,79.0
-0.16666666666666666,79.0
-0.16666666666666666,81.0
-0.15,81.0
-0.15,83.0
-0.13333333333333333,85.0
-0.11666666666666667,88.0
-0.11666666666666667,88.0
-0.11666666666666667,89.0
-0.1,90.0
-0.1,89.0
-0.06666666666666667,85.0
-0.06666666666666667,89.0
-0.06666666666666667,85.0
-0.06666666666666667,87.0
-0.05,83.0
-0.03333333333333333,83.0
-0.03333333333333333,83.0
-0.016666666666666666,83.0
0.0,85.0
0.0,87.0
0.03333333333333333,87.0
0.03333333333333333,87.0
0.03333333333333333,87.0
0.03333333333333333,87.0
0.03333333333333333,87.0
0.03333333333333333,87.0
0.05,87.0
0.05,87.0
0.06666666666666667,87.0
0.08333333333333333,87.0
0.08333333333333333,87.0
0.08333333333333333,87.0
0.1,87.0
0.1,87.0
0.11666666666666667,87.0
0.13333333333333333,87.0
0.13333333333333333,87.0
0.13333333333333333,88.0
0.15,87.0
0.15,87.0
0.16666666666666666,88.0
0.18333333333333332,89.0
0.18333333333333332,89.0
0.18333333333333332,88.0
0.2,89.0
0.2,90.0
0.21666666666666667,90.0
0.23333333333333334,91.0
0.23333333333333334,90.0
0.23333333333333334,90.0
0.25,90.0
0.25,90.0
0.26666666666666666,90.0
0.2833333333333333,89.0
0.2833333333333333,89.0
0.2833333333333333,90.0
0.3,91.0
0.3,92.0
0.31666666666666665,92.0
0.3333333333333333,93.0
0.3333333333333333,93.0
0.3333333333333333,94.0
0.35,95.0
0.35,96.0
0.36666666666666664,96.0
0.38333333333333336,96.0
0.38333333333333336,96.0
0.38333333333333336,96.0
0.4,96.0
0.4,95.0
0.4166666666666667,95.0
0.43333333333333335,98.0
0.43333333333333335,97.0
0.43333333333333335,98.0
