minutes_elapsed,value
-0.6,101.0
0.5333333333333333,137.0
0.5666666666666667,138.0
0.6333333333333333,138.0
0.7833333333333333,141.0
0.8666666666666667,145.0
0.95,142.0
0.9666666666666667,144.0
1.1166666666666667,145.0
5.783333333333333,148.0
5.866666666666666,150.0
5.9,149.0
6.033333333333333,141.0
6.1,138.0
6.15,135.0
6.233333333333333,128.0
6.3,126.0
6.383333333333334,129.0
6.466666666666667,131.0
6.616666666666666,136.0
6.65,137.0
6.766666666666667,139.0
6.866666666666666,140.0
6.95,142.0
7.033333333333333,145.0
7.116666666666666,146.0
7.133333333333334,146.0
7.216666666666667,148.0
7.316666666666666,149.0
7.433333333333334,151.0
7.533333333333333,151.0
7.55,152.0
7.683333333333334,153.0
7.783333333333333,154.0
7.8,154.0
7.933333333333334,154.0
8.016666666666667,155.0
8.05,155.0
8.133333333333333,156.0
8.216666666666667,155.0
8.333333333333334,155.0
8.4,155.0
8.516666666666667,155.0
8.55,155.0
8.666666666666666,154.0
8.783333333333333,154.0
8.866666666666667,153.0
8.916666666666666,153.0
8.966666666666667,153.0
9.05,154.0
9.133333333333333,154.0
9.283333333333333,153.0
9.366666666666667,154.0
9.416666666666666,154.0
9.466666666666667,154.0
9.616666666666667,155.0
9.7,156.0
9.75,157.0
9.866666666666667,158.0
9.883333333333333,159.0
9.966666666666667,159.0
10.066666666666666,158.0
10.133333333333333,158.0
10.283333333333333,158.0
10.333333333333334,159.0
10.383333333333333,158.0
10.466666666666667,157.0
10.55,155.0
10.7,155.0
10.783333333333333,156.0
10.8,155.0
10.966666666666667,152.0
11.05,149.0
11.2,149.0
11.216666666666667,148.0
11.3,148.0
11.616666666666667,150.0
11.65,151.0
11.716666666666667,152.0
11.833333333333334,156.0
11.95,156.0
12.033333333333333,158.0
12.083333333333334,160.0
12.133333333333333,159.0
12.266666666666667,159.0
12.35,159.0
12.416666666666666,160.0
12.466666666666667,160.0
12.616666666666667,160.0
12.7,161.0
12.716666666666667,161.0
12.85,162.0
12.883333333333333,162.0
13.0,162.0
13.083333333333334,163.0
13.95,174.0
14.016666666666667,174.0
14.05,173.0
14.133333333333333,171.0
14.216666666666667,169.0
14.3,168.0
14.383333333333333,168.0
14.5,169.0
14.583333333333334,169.0
14.633333333333333,168.0
14.783333333333333,168.0
14.816666666666666,167.0
14.95,169.0
15.033333333333333,170.0
15.05,171.0
15.166666666666666,172.0
15.216666666666667,172.0
15.3,173.0
15.45,175.0
15.533333333333333,175.0
15.6,176.0
15.633333333333333,176.0
15.766666666666667,178.0
15.866666666666667,178.0
15.883333333333333,178.0
16.033333333333335,178.0
16.066666666666666,178.0
16.166666666666668,179.0
16.283333333333335,179.0
16.3,179.0
16.4,179.0
16.466666666666665,179.0
16.55,179.0
16.666666666666668,178.0
16.766666666666666,178.0
16.8,178.0
16.933333333333334,178.0
16.966666666666665,177.0
17.05,177.0
17.2,176.0
17.216666666666665,176.0
17.366666666666667,177.0
17.383333333333333,177.0
17.5,177.0
17.783333333333335,176.0
17.8,176.0
17.883333333333333,174.0
17.966666666666665,173.0
18.05,172.0
18.133333333333333,171.0
18.216666666666665,172.0
18.316666666666666,172.0
18.383333333333333,172.0
18.466666666666665,172.0
18.6,173.0
18.633333333333333,173.0
18.716666666666665,174.0
18.85,174.0
18.883333333333333,175.0
18.983333333333334,175.0
19.05,175.0
19.183333333333334,176.0
19.216666666666665,176.0
19.366666666666667,177.0
19.4,177.0
19.516666666666666,177.0
19.566666666666666,178.0
19.816666666666666,178.0
19.9,178.0
20.0,178.0
20.1,178.0
20.133333333333333,178.0
20.266666666666666,178.0
20.316666666666666,178.0
20.383333333333333,178.0
20.483333333333334,178.0
20.616666666666667,178.0
20.7,178.0
20.716666666666665,178.0
20.8,178.0
20.916666666666668,179.0
21.033333333333335,179.0
21.116666666666667,179.0
21.133333333333333,179.0
21.283333333333335,179.0
21.333333333333332,179.0
21.383333333333333,179.0
21.483333333333334,179.0
21.566666666666666,179.0
21.633333333333333,179.0
21.766666666666666,178.0
21.816666666666666,178.0
21.95,178.0
22.2,178.0
22.216666666666665,178.0
22.366666666666667,179.0
22.4,178.0
22.516666666666666,178.0
22.55,178.0
22.666666666666668,178.0
22.716666666666665,178.0
22.866666666666667,178.0
22.95,178.0
22.966666666666665,177.0
23.05,177.0
23.2,177.0
23.216666666666665,177.0
23.35,176.0
23.45,177.0
23.483333333333334,177.0
23.583333333333332,178.0
23.816666666666666,177.0
23.966666666666665,177.0
24.016666666666666,177.0
24.466666666666665,177.0
27.0,174.0
27.166666666666668,173.0
27.25,174.0
27.316666666666666,173.0
27.35,173.0
27.433333333333334,174.0
27.516666666666666,174.0
27.6,174.0
27.75,174.0
27.8,174.0
27.916666666666668,186.0
28.0,190.0
28.05,190.0
28.116666666666667,188.0
28.2,185.0
28.333333333333332,180.0
28.366666666666667,179.0
28.466666666666665,175.0
28.583333333333332,170.0
28.65,168.0
28.683333333333334,168.0
28.8,163.0
28.9,160.0
28.933333333333334,159.0
29.083333333333332,156.0
29.166666666666668,156.0
29.2,156.0
29.333333333333332,156.0
29.35,156.0
29.5,156.0
29.566666666666666,156.0
29.666666666666668,151.0
29.7,150.0
29.783333333333335,149.0
29.916666666666668,150.0
29.933333333333334,150.0
30.016666666666666,149.0
30.15,148.0
30.183333333333334,148.0
30.266666666666666,146.0
30.4,142.0
30.483333333333334,140.0
30.566666666666666,139.0
30.616666666666667,139.0
30.716666666666665,140.0
30.833333333333332,140.0
30.916666666666668,142.0
31.0,142.0
31.083333333333332,141.0
31.1,141.0
31.216666666666665,140.0
31.266666666666666,141.0
31.416666666666668,144.0
31.433333333333334,144.0
31.516666666666666,142.0
31.65,140.0
31.683333333333334,139.0
31.766666666666666,138.0
