minutes_elapsed,value
-2.0,85.0
-2.0,82.0
-1.9833333333333334,82.0
-1.95,77.0
-1.95,77.0
-1.95,80.0
-1.95,78.0
-1.95,78.0
-1.95,77.0
-1.9333333333333333,78.0
-1.9333333333333333,78.0
-1.9166666666666667,78.0
-1.9,79.0
-1.9,78.0
-1.9,78.0
-1.8833333333333333,78.0
-1.8833333333333333,78.0
-1.8666666666666667,78.0
-1.85,79.0
-1.85,79.0
-1.85,80.0
-1.8333333333333333,81.0
-1.8333333333333333,82.0
-1.8166666666666667,82.0
-1.8,80.0
-1.8,81.0
-1.8,80.0
-1.7833333333333334,77.0
-1.7833333333333334,77.0
-1.7666666666666666,76.0
-1.75,74.0
-1.75,74.0
-1.75,73.0
-1.7333333333333334,73.0
-1.7333333333333334,73.0
-1.7166666666666666,73.0
-1.7,73.0
-1.7,73.0
-1.7,73.0
-1.6833333333333333,75.0
-1.6833333333333333,76.0
-1.6666666666666667,76.0
-1.65,77.0
-1.65,76.0
-1.65,77.0
-1.6333333333333333,77.0
-1.6333333333333333,77.0
-1.6166666666666667,77.0
-1.6,78.0
-1.6,80.0
-1.5833333333333333,80.0
-1.5666666666666667,82.0
-1.5666666666666667,85.0
-1.5666666666666667,88.0
-1.55,89.0
-1.55,85.0
-1.55,88.0
-1.5333333333333334,85.0
-1.5333333333333334,84.0
-1.5166666666666666,84.0
-1.5,83.0
-1.5,81.0
-1.4833333333333334,81.0
-1.4666666666666666,78.0
-1.4666666666666666,78.0
-1.4666666666666666,75.0
-1.45,75.0
-1.45,72.0
-1.45,70.0
-1.4333333333333333,69.0
-1.4333333333333333,70.0
-1.4166666666666667,69.0
-1.4,69.0
-1.4,69.0
-1.4,69.0
-1.3833333333333333,71.0
-1.3833333333333333,71.0
-1.3666666666666667,73.0
-1.35,76.0
-1.35,76.0
-1.35,77.0
-1.3333333333333333,79.0
-1.3333333333333333,80.0
-1.3166666666666667,80.0
-1.3,80.0
-1.3,80.0
-1.3,80.0
-1.2833333333333334,80.0
-1.2833333333333334,80.0
-1.2666666666666666,79.0
-1.25,79.0
-1.25,77.0
-1.25,77.0
-1.2333333333333334,75.0
-1.2333333333333334,75.0
-1.2166666666666666,74.0
-1.2,74.0
-1.2,70.0
-1.2,70.0
-1.1833333333333333,69.0
-1.1833333333333333,69.0
-1.1666666666666667,69.0
-1.15,69.0
-1.15,69.0
-1.15,69.0
-1.1333333333333333,69.0
-1.1333333333333333,69.0
-1.1166666666666667,69.0
-1.1,69.0
-1.1,69.0
-1.1,71.0
-1.0833333333333333,71.0
-1.0833333333333333,71.0
-1.0666666666666667,71.0
-1.05,71.0
-1.05,72.0
-1.05,73.0
