minutes_elapsed,value
-2.0,82.0
-2.0,82.0
-2.0,82.0
-1.9833333333333334,82.0
-1.9833333333333334,82.0
-1.9666666666666666,81.0
-1.9666666666666666,81.0
-1.95,80.0
-1.95,78.0
-1.9333333333333333,78.0
-1.9333333333333333,77.0
-1.9166666666666667,77.0
-1.9166666666666667,76.0
-1.9,75.0
-1.9,75.0
-1.8833333333333333,76.0
-1.8833333333333333,77.0
-1.8666666666666667,78.0
-1.8666666666666667,77.0
-1.85,78.0
-1.85,78.0
-1.8333333333333333,78.0
-1.8333333333333333,77.0
-1.8166666666666667,77.0
-1.8166666666666667,76.0
-1.8,76.0
-1.8,75.0
-1.7833333333333334,75.0
-1.7833333333333334,75.0
-1.7666666666666666,75.0
-1.7666666666666666,76.0
-1.75,76.0
-1.75,78.0
-1.7333333333333334,79.0
-1.7333333333333334,79.0
-1.7166666666666666,79.0
-1.7166666666666666,81.0
-1.7,81.0
-1.7,83.0
-1.6833333333333333,85.0
-1.6833333333333333,86.0
-1.6666666666666667,86.0
-1.6666666666666667,87.0
-1.65,87.0
-1.65,87.0
-1.6333333333333333,87.0
-1.6333333333333333,85.0
-1.6166666666666667,83.0
-1.6166666666666667,83.0
-1.6,80.0
-1.6,80.0
-1.5833333333333333,78.0
-1.5833333333333333,76.0
-1.5666666666666667,76.0
-1.5666666666666667,75.0
-1.55,75.0
-1.55,75.0
-1.5333333333333334,74.0
-1.5333333333333334,74.0
-1.5166666666666666,75.0
-1.5166666666666666,75.0
-1.5,76.0
-1.5,78.0
-1.4833333333333334,79.0
-1.4833333333333334,79.0
-1.4666666666666666,81.0
-1.4666666666666666,81.0
-1.45,81.0
-1.45,81.0
-1.4333333333333333,81.0
-1.4333333333333333,81.0
-1.4166666666666667,80.0
-1.4166666666666667,81.0
-1.4,80.0
-1.4,80.0
-1.3833333333333333,80.0
-1.3833333333333333,80.0
-1.3666666666666667,80.0
-1.3666666666666667,80.0
-1.35,80.0
-1.35,81.0
-1.3333333333333333,81.0
-1.3333333333333333,81.0
-1.3166666666666667,80.0
-1.3166666666666667,80.0
-1.3,80.0
-1.3,80.0
-1.2833333333333334,81.0
-1.2666666666666666,81.0
-1.2666666666666666,82.0
-1.2666666666666666,82.0
-1.25,82.0
-1.25,83.0
-1.2333333333333334,83.0
-1.2333333333333334,83.0
-1.2166666666666666,83.0
-1.2166666666666666,83.0
-1.2,82.0
-1.2,82.0
-1.1833333333333333,82.0
-1.1833333333333333,81.0
-1.1666666666666667,81.0
-1.1666666666666667,79.0
-1.15,78.0
-1.15,78.0
-1.1166666666666667,75.0
-1.1166666666666667,75.0
-1.1166666666666667,74.0
-1.1166666666666667,74.0
-1.1,72.0
-1.1,73.0
-1.0833333333333333,72.0
-1.0833333333333333,72.0
-1.0666666666666667,72.0
-1.0666666666666667,72.0
-1.05,73.0
-1.05,73.0
-1.0333333333333334,74.0
-1.0333333333333334,76.0
-1.0166666666666666,76.0
-1.0166666666666666,78.0
-1.0,80.0
-1.0,80.0
-0.9833333333333333,82.0
-0.9833333333333333,84.0
-0.9666666666666667,85.0
-0.9666666666666667,85.0
-0.95,86.0
-0.95,88.0
-0.9333333333333333,89.0
-0.9333333333333333,89.0
-0.9166666666666666,90.0
-0.9166666666666666,90.0
-0.9,89.0
-0.9,89.0
-0.8833333333333333,89.0
-0.8833333333333333,87.0
