id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,suffer_score,kudos_count,start_latlng,end_latlng,distance_km,moving_time_min,elapsed_time_min,pace_min_per_km,speed_kmh
15501960299,Namiddagrit,Ride,Ride,2025-08-18 17:16:12+00:00,12852.3,2258,2258,25.6,5.692,8.18,,,,,0,"[51.467114, 6.18224]","[51.361374, 6.184838]",12.8523,37.63333333333333,37.63333333333333,2.9281399697589796,20.491200000000003
15510842561,Middagwandeling,Walk,Walk,2025-08-19 12:10:50+00:00,2052.5,1433,1999,33.0,1.432,2.093,,,,,1,"[51.174586, 5.834797]","[51.174392, 5.83169]",2.0525,23.883333333333333,33.31666666666667,11.636215996751927,5.1552
15523254642,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-08-20 13:01:59+00:00,0.0,1509,1509,0.0,0.0,0.0,,,,,0,[],[],0.0,25.15,25.15,,0.0
15557480917,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-08-23 13:37:23+00:00,0.0,3610,3610,0.0,0.0,0.0,,,,,0,[],[],0.0,60.166666666666664,60.166666666666664,,0.0
15566214226,Ochtendwandeling,Walk,Walk,2025-08-24 10:13:57+00:00,1357.1,1039,1409,31.2,1.306,2.12,,,,,0,"[51.366601, 6.171532]","[51.361372, 6.184965]",1.3571,17.316666666666666,23.483333333333334,12.760052071819812,4.7016
15580575995,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-08-25 14:27:35+00:00,0.0,2928,2928,0.0,0.0,0.0,,,,,1,[],[],0.0,48.8,48.8,,0.0
15604257840,Namiddagwandeling,Walk,Walk,2025-08-27 14:21:45+00:00,2185.5,1809,1861,33.4,1.208,2.267,,,,,1,"[51.365671, 6.160058]","[51.361255, 6.184978]",2.1855,30.15,31.016666666666666,13.795470144131775,4.3488
15625390157,Middagsessie krachttraining,WeightTraining,WeightTraining,2025-08-29 12:43:39+00:00,0.0,2708,2708,0.0,0.0,0.0,,,,,1,[],[],0.0,45.13333333333333,45.13333333333333,,0.0
15644248722,Nachtwandeling,Walk,Walk,2025-08-31 01:54:48+00:00,1043.9,491,1096,0.0,2.126,3.425,,,,,1,"[51.589534, 4.776188]","[51.59501, 4.777453]",1.0439,8.183333333333334,18.266666666666666,7.83919277069962,7.6536
15668572483,Middagsessie krachttraining,WeightTraining,WeightTraining,2025-09-02 11:05:22+00:00,0.0,3247,3247,0.0,0.0,0.0,,,,,0,[],[],0.0,54.11666666666667,54.11666666666667,,0.0
15672033103,Namiddagwandeling,Walk,Walk,2025-09-02 16:48:16+00:00,2593.7,1919,2840,40.6,1.352,4.1,,,,,0,"[51.361308, 6.183639]","[51.361292, 6.184898]",2.5936999999999997,31.983333333333334,47.333333333333336,12.331161403914615,4.8672
15681602191,Middagsessie krachttraining,WeightTraining,WeightTraining,2025-09-03 12:40:56+00:00,0.0,2802,2802,0.0,0.0,0.0,,,,,2,[],[],0.0,46.7,46.7,,0.0
15686783370,Avondsessie padel,Workout,Squash,2025-09-03 20:01:24+00:00,0.0,4104,4104,0.0,0.0,0.0,,,,,1,[],[],0.0,68.4,68.4,,0.0
15693771598,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-09-04 13:22:07+00:00,0.0,2825,2825,0.0,0.0,0.0,,,,,1,[],[],0.0,47.083333333333336,47.083333333333336,,0.0
15697476366,Avondrit,Ride,Ride,2025-09-04 19:58:03+00:00,1798.8,140,455,22.8,12.849,15.913,,,,,0,"[51.366444, 6.170004]","[51.361398, 6.184664]",1.7988,2.3333333333333335,7.583333333333333,1.297161070343192,46.2564
15705693240,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-09-05 13:58:06+00:00,0.0,3142,3142,0.0,0.0,0.0,,,,,0,[],[],0.0,52.36666666666667,52.36666666666667,,0.0
15707621642,Avondloop,Run,Run,2025-09-05 18:37:54+00:00,1125.4,491,532,30.4,2.292,7.414,,,,,0,"[51.409998, 6.034827]","[51.410128, 6.036339]",1.1254000000000002,8.183333333333334,8.866666666666667,7.271488655885314,8.251199999999999
15724618206,Zeeland 16km,Run,Run,2025-09-07 07:55:48+00:00,16013.8,4958,5043,19.3,3.23,5.78,,,,55.0,4,"[51.668453, 4.08468]","[51.667295, 4.088324]",16.0138,82.63333333333334,84.05,5.160132718863315,11.628
15728361888,Namiddagloop,Run,Run,2025-09-07 13:52:12+00:00,565.5,522,873,7.2,1.083,1.86,,,,,0,"[51.74286, 3.799322]","[51.743017, 3.792295]",0.5655,8.7,14.55,15.384615384615383,3.8988
15753834358,Namiddagsessie krachttraining,WeightTraining,WeightTraining,2025-09-09 17:48:21+00:00,0.0,2767,2767,0.0,0.0,0.0,,,,,0,[],[],0.0,46.11666666666667,46.11666666666667,,0.0
15772062030,Mont-Roig 10km,Run,Run,2025-09-11 08:29:33+00:00,10006.9,2999,3129,26.9,3.337,4.56,,,,33.0,4,"[41.041075, 0.980837]","[41.040922, 0.980501]",10.0069,49.983333333333334,52.15,4.994886861398968,12.013200000000001
