date,resting_hr,min_hr,max_hr,measurements
2020-02-18,48.3,46.0,118.0,307
2020-02-19,48.4,46.0,114.0,263
2020-02-20,47.7,47.0,89.0,250
2020-02-21,51.4,50.0,116.0,194
2020-02-22,52.8,48.0,182.0,781
2020-02-23,57.1,54.0,89.0,268
2020-02-24,48.4,46.0,103.1,311
2020-02-25,53.1,50.0,92.0,190
2020-02-26,53.2,52.0,113.8,191
2020-02-27,49.6,48.0,124.3,268
2020-02-28,50.3,49.0,107.0,308
2020-02-29,50.5,48.6,120.8,278
2020-03-01,53.5,52.0,102.0,256
2020-03-02,51.5,49.0,113.0,272
2020-03-03,48.8,47.0,116.7,251
2020-03-04,54.4,51.0,113.4,211
2020-03-05,56.3,53.0,113.7,188
2020-03-06,55.5,45.0,107.8,215
2020-03-07,56.1,53.3,98.0,193
2020-03-08,57.3,55.0,176.0,159
2020-03-09,56.4,54.0,107.7,191
2020-03-10,55.1,52.0,83.0,191
2020-03-11,59.5,52.0,113.3,215
2020-03-12,56.9,54.0,115.8,204
2020-03-13,56.8,53.0,152.0,208
2020-03-14,56.3,53.0,136.0,186
2020-03-15,57.0,53.0,176.0,171
2020-03-16,51.1,43.5,97.0,203
2020-03-17,54.4,52.6,113.4,214
2020-03-18,54.1,49.0,110.4,177
2020-03-19,55.1,53.0,112.8,189
2020-03-20,51.9,49.0,93.2,208
2020-03-21,51.8,48.0,109.0,172
2020-03-22,56.3,53.0,185.0,217
2020-03-23,53.3,50.0,107.0,177
2020-03-24,53.3,50.0,118.0,178
2020-03-25,55.3,53.0,98.0,192
2020-03-26,57.3,55.0,168.0,183
2020-03-27,57.2,55.0,104.0,210
2020-03-28,59.1,55.0,102.0,193
2020-03-29,56.2,50.0,119.5,224
2020-03-30,53.4,44.0,92.0,164
2020-03-31,56.9,54.0,115.0,164
2020-04-01,56.5,53.0,118.0,185
2020-04-02,58.2,56.0,111.6,197
2020-04-03,56.6,52.6,101.0,194
2020-04-04,58.5,55.0,121.0,188
2020-04-05,63.2,55.0,179.0,162
2020-04-06,54.8,52.0,100.0,151
2020-04-07,58.0,56.0,84.0,172
2020-04-08,58.1,53.8,108.9,203
2020-04-09,57.2,55.0,116.0,215
2020-04-10,58.1,54.0,127.7,211
2020-04-11,59.7,56.0,130.0,214
2020-04-12,58.6,55.0,177.0,162
2020-04-13,55.3,51.9,94.8,191
2020-04-14,53.3,50.0,103.0,188
2020-04-15,55.1,49.0,104.4,190
2020-04-16,56.5,43.0,106.2,195
2020-04-17,57.8,54.0,183.0,189
2020-04-18,52.4,50.0,125.0,165
2020-04-19,56.4,54.0,108.0,203
2020-04-20,59.3,56.0,100.0,193
2020-04-21,56.2,52.0,167.0,173
2020-04-22,55.8,52.0,81.0,179
2020-04-23,56.7,52.0,87.0,170
2020-04-24,54.4,52.0,88.0,203
2020-04-25,57.7,54.0,121.0,185
2020-04-26,56.2,53.0,171.0,164
2020-04-27,57.7,56.0,111.0,204
2020-04-28,57.0,51.0,85.0,204
2020-04-29,53.8,48.0,93.0,190
2020-04-30,56.9,55.0,142.0,178
2020-05-01,55.9,54.0,128.0,171
2020-05-02,55.9,51.0,113.8,175
2020-05-03,53.0,49.0,174.0,155
2020-05-04,54.7,54.0,73.0,154
2020-05-05,54.9,52.0,108.1,192
2020-05-06,54.1,47.0,164.0,184
2020-05-07,59.4,56.0,112.8,205
2020-05-08,58.0,56.0,93.0,197
2020-05-09,56.7,49.0,108.4,216
2020-05-10,53.7,48.0,172.0,147
2020-05-11,51.4,49.0,86.0,199
2020-05-12,55.1,53.0,85.0,178
2020-05-13,58.1,53.0,117.1,268
2020-05-14,61.7,57.0,124.0,136
2020-05-15,57.3,55.0,108.5,189
2020-05-16,55.7,51.0,123.0,431
2020-05-17,54.5,41.0,94.1,161
2020-05-18,54.2,53.0,179.0,183
2020-05-19,55.6,51.0,94.0,171
2020-05-20,55.2,52.0,121.0,195
2020-05-21,56.1,53.0,126.0,182
2020-05-22,59.2,56.0,103.0,200
2020-05-23,56.4,55.0,95.0,184
2020-05-24,59.1,55.0,164.0,146
2020-05-25,54.2,51.0,85.0,191
2020-05-26,54.6,51.2,80.0,168
2020-05-27,55.3,53.0,117.2,203
